loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,total_rec_prncp,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,il_util,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,target,emp_length_anos,mths_since_last_delinq_missing,mths_since_last_record_missing,mths_since_recent_bc_dlq_missing,mths_since_recent_revol_delinq_missing,mths_since_last_major_derog_missing,emp_length_missing,era_pre_2012
18000.0,18000.0,36.0,13.35,609.54,c,c2,mortgage,43000.0,not verified,2014-06-01,Fully Paid,debt_consolidation,20.65,0.0,1992-10-01,685.0,689.0,0.0,71.0,999.0,11.0,0.0,13553.0,56.9,26.0,f,18000.0,0.0,71.0,individual,,,,0.0,0.0,153539.0,,23800.0,4.0,13958.0,4341.0,55.7,0.0,0.0,119.0,260.0,2.0,2.0,1.0,2.0,71.0,22.0,71.0,1.0,4.0,8.0,4.0,6.0,11.0,9.0,14.0,8.0,11.0,0.0,0.0,0.0,2.0,92.3,50.0,0.0,0.0,175870.0,20328.0,9800.0,9620.0,0,10.0,0,1,0,0,0,0,0
15000.0,15000.0,36.0,7.69,467.91,a,a4,mortgage,180000.0,not verified,2014-07-01,Fully Paid,credit_card,22.27,0.0,1989-07-01,695.0,699.0,1.0,74.0,999.0,28.0,0.0,64496.0,76.1,43.0,f,15000.0,0.0,999.0,individual,,,,0.0,0.0,280766.0,,84700.0,7.0,10399.0,11554.0,83.4,0.0,0.0,166.0,300.0,13.0,13.0,2.0,21.0,74.0,3.0,74.0,0.0,12.0,15.0,12.0,14.0,17.0,17.0,24.0,15.0,28.0,0.0,0.0,0.0,0.0,97.7,58.3,0.0,0.0,359954.0,126189.0,69400.0,114950.0,0,2.0,0,1,0,0,1,0,0
21300.0,21300.0,36.0,12.29,710.42,c,c1,mortgage,65000.0,not verified,2015-10-01,Fully Paid,debt_consolidation,29.11,0.0,1966-01-01,715.0,719.0,1.0,24.0,999.0,22.0,0.0,15359.0,36.2,56.0,w,21300.0,0.0,63.0,individual,,,,0.0,0.0,143456.0,,42450.0,5.0,7173.0,12931.0,48.9,0.0,0.0,119.0,596.0,10.0,10.0,6.0,11.0,24.0,0.0,24.0,1.0,5.0,10.0,8.0,19.0,7.0,17.0,41.0,10.0,22.0,0.0,0.0,0.0,2.0,83.9,42.9,0.0,0.0,252643.0,39447.0,25300.0,42447.0,0,-1.0,0,1,0,0,0,1,0
24000.0,24000.0,36.0,7.69,748.65,a,a4,mortgage,120000.0,source verified,2014-08-01,Fully Paid,debt_consolidation,28.44,0.0,1992-06-01,700.0,704.0,1.0,999.0,999.0,15.0,0.0,216618.0,63.0,39.0,w,24000.0,0.0,999.0,individual,,,,0.0,0.0,258592.0,,280200.0,7.0,17239.0,35443.0,58.0,0.0,0.0,155.0,266.0,15.0,3.0,2.0,15.0,999.0,4.0,999.0,0.0,6.0,9.0,7.0,12.0,13.0,11.0,23.0,10.0,15.0,0.0,0.0,0.0,3.0,100.0,42.9,0.0,0.0,329179.0,258592.0,84400.0,48979.0,0,10.0,1,1,1,1,1,0,0
13075.0,13075.0,60.0,12.35,293.17,b,b4,rent,50000.0,source verified,2013-09-01,Fully Paid,debt_consolidation,24.12,0.0,1989-08-01,785.0,789.0,1.0,999.0,999.0,30.0,0.0,13027.0,14.3,53.0,w,13075.0,0.0,999.0,individual,,,,0.0,0.0,49534.0,,91100.0,10.0,2252.0,42433.0,23.4,0.0,0.0,107.0,293.0,9.0,9.0,0.0,11.0,999.0,1.0,999.0,0.0,6.0,8.0,8.0,19.0,9.0,27.0,44.0,8.0,30.0,0.0,0.0,0.0,3.0,100.0,12.5,0.0,0.0,140373.0,49534.0,55400.0,49273.0,0,10.0,1,1,1,1,1,0,0
5000.0,5000.0,36.0,11.53,164.96,b,b5,rent,25000.0,verified,2015-08-01,Fully Paid,debt_consolidation,11.43,0.0,2002-07-01,670.0,674.0,1.0,71.0,64.0,15.0,2.0,4087.0,21.1,26.0,f,5000.0,0.0,71.0,individual,,,,0.0,0.0,4087.0,,19400.0,9.0,272.0,5308.0,14.4,0.0,0.0,157.0,149.0,1.0,1.0,0.0,1.0,71.0,1.0,71.0,2.0,3.0,8.0,4.0,7.0,5.0,15.0,21.0,8.0,15.0,0.0,0.0,0.0,5.0,90.9,0.0,1.0,1.0,19400.0,4087.0,6200.0,0.0,0,-1.0,0,0,0,0,0,1,0
6500.0,6500.0,36.0,11.44,214.16,b,b4,rent,36000.0,not verified,2015-02-01,Fully Paid,debt_consolidation,21.97,1.0,2005-02-01,695.0,699.0,1.0,10.0,94.0,13.0,1.0,5941.0,45.4,19.0,w,6500.0,0.0,999.0,individual,,,,0.0,0.0,26012.0,,13100.0,5.0,2168.0,4903.0,50.0,0.0,0.0,120.0,91.0,9.0,9.0,0.0,9.0,10.0,4.0,10.0,0.0,4.0,7.0,5.0,8.0,4.0,12.0,15.0,7.0,13.0,0.0,0.0,0.0,1.0,89.5,20.0,1.0,0.0,37624.0,26012.0,9800.0,24524.0,0,2.0,0,0,0,0,1,0,0
30000.0,30000.0,60.0,16.99,745.42,d,d1,mortgage,160000.0,source verified,2013-12-01,Fully Paid,debt_consolidation,27.07,0.0,1993-06-01,680.0,684.0,1.0,28.0,999.0,23.0,0.0,30274.0,61.3,61.0,f,30000.0,0.0,999.0,individual,,,,0.0,152.0,423683.0,,49400.0,4.0,19258.0,64.0,99.1,0.0,0.0,141.0,235.0,13.0,13.0,6.0,80.0,999.0,0.0,999.0,0.0,1.0,8.0,1.0,4.0,39.0,10.0,16.0,8.0,23.0,0.0,0.0,0.0,0.0,98.4,100.0,0.0,0.0,535071.0,145074.0,7500.0,164822.0,0,10.0,0,1,1,1,1,0,0
10400.0,10400.0,36.0,10.64,338.72,b,b2,rent,55000.0,not verified,2013-07-01,Fully Paid,debt_consolidation,5.19,0.0,2000-01-01,750.0,754.0,0.0,999.0,999.0,4.0,0.0,7613.0,43.8,19.0,f,10400.0,0.0,999.0,individual,,,,0.0,0.0,7613.0,,17400.0,3.0,1903.0,240.0,96.5,0.0,0.0,130.0,164.0,14.0,14.0,3.0,14.0,999.0,,999.0,0.0,1.0,3.0,1.0,4.0,4.0,4.0,12.0,3.0,4.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,17400.0,7613.0,6800.0,0.0,0,2.0,1,1,1,1,1,0,0
16000.0,16000.0,36.0,17.57,575.0,d,d4,mortgage,60000.0,verified,2015-10-01,Fully Paid,debt_consolidation,18.12,1.0,1984-06-01,670.0,674.0,0.0,6.0,70.0,15.0,1.0,5746.0,25.8,43.0,f,16000.0,0.0,6.0,individual,,,,0.0,0.0,49521.0,,22300.0,16.0,3537.0,10629.0,25.7,0.0,0.0,141.0,376.0,2.0,2.0,3.0,8.0,67.0,6.0,67.0,4.0,3.0,7.0,6.0,13.0,10.0,13.0,30.0,7.0,15.0,0.0,0.0,1.0,13.0,90.5,0.0,1.0,0.0,71143.0,49521.0,14300.0,48843.0,0,-1.0,0,0,0,0,0,1,0
18650.0,18650.0,36.0,17.76,672.0,d,d1,rent,95000.0,not verified,2013-11-01,Charged Off,debt_consolidation,16.09,0.0,1997-05-01,660.0,664.0,2.0,59.0,999.0,15.0,0.0,12045.0,69.6,23.0,f,4934.47,0.0,59.0,individual,,,,0.0,0.0,29217.0,,17300.0,8.0,1948.0,1965.0,85.7,0.0,0.0,198.0,134.0,2.0,2.0,2.0,9.0,999.0,2.0,999.0,1.0,7.0,8.0,8.0,11.0,4.0,12.0,16.0,8.0,15.0,0.0,0.0,0.0,3.0,95.5,50.0,0.0,0.0,50974.0,29217.0,13700.0,30484.0,1,2.0,0,1,1,1,0,0,0
9600.0,9600.0,36.0,7.89,300.35,a,a5,rent,52000.0,not verified,2015-05-01,Fully Paid,credit_card,4.66,1.0,2002-01-01,670.0,674.0,0.0,10.0,999.0,4.0,0.0,6222.0,34.0,11.0,w,9600.0,0.0,66.0,individual,,,,0.0,0.0,6222.0,,18300.0,1.0,1556.0,12078.0,34.0,0.0,0.0,139.0,160.0,1.0,1.0,0.0,1.0,10.0,,10.0,1.0,2.0,2.0,4.0,4.0,5.0,4.0,6.0,2.0,4.0,0.0,0.0,0.0,1.0,81.8,0.0,0.0,0.0,18300.0,6222.0,18300.0,0.0,0,5.0,0,1,0,0,0,0,0
21000.0,21000.0,60.0,18.25,536.13,d,d5,mortgage,100000.0,verified,2011-11-01,Charged Off,small_business,13.31,0.0,1995-01-01,680.0,684.0,1.0,999.0,999.0,16.0,0.0,13931.0,75.8,24.0,f,9874.77,0.0,999.0,individual,,,,0.0,-1.0,-1.0,,-1.0,,-1.0,,,0.0,0.0,,-1.0,-1.0,-1.0,,,999.0,,999.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,0.0,0.0,-1.0,,,-1.0,1,6.0,1,1,1,1,1,0,1
32000.0,32000.0,60.0,17.27,799.94,c,c5,rent,111000.0,verified,2012-12-01,Fully Paid,debt_consolidation,15.61,0.0,2002-01-01,700.0,704.0,1.0,999.0,999.0,15.0,0.0,32566.0,99.6,27.0,w,32000.0,0.0,999.0,individual,,,,0.0,68.0,185668.0,,32700.0,0.0,16879.0,130.0,99.5,0.0,0.0,100.0,133.0,27.0,27.0,3.0,27.0,999.0,6.0,999.0,0.0,4.0,5.0,6.0,10.0,8.0,9.0,16.0,5.0,15.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,228915.0,68068.0,27700.0,55965.0,0,2.0,1,1,1,1,1,0,0
12000.0,12000.0,36.0,5.99,365.01,a,a2,mortgage,35000.0,verified,2011-08-01,Fully Paid,major_purchase,11.21,0.0,1991-10-01,820.0,824.0,0.0,999.0,999.0,7.0,0.0,1017.0,4.2,20.0,f,12000.0,0.0,999.0,individual,,,,0.0,-1.0,-1.0,,-1.0,,-1.0,,,0.0,0.0,,-1.0,-1.0,-1.0,,,999.0,,999.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,,0.0,0.0,-1.0,,,-1.0,0,10.0,1,1,1,1,1,0,1
3000.0,3000.0,36.0,12.69,100.64,c,c2,rent,48000.0,verified,2015-07-01,Fully Paid,credit_card,21.7,0.0,2007-04-01,690.0,694.0,0.0,999.0,999.0,8.0,0.0,19510.0,82.3,11.0,f,3000.0,0.0,999.0,individual,,,,0.0,0.0,34204.0,,23700.0,1.0,4276.0,116.0,99.2,0.0,0.0,56.0,98.0,57.0,13.0,0.0,57.0,999.0,,999.0,0.0,4.0,7.0,4.0,5.0,2.0,7.0,9.0,7.0,8.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,42711.0,34204.0,13900.0,19011.0,0,9.0,1,1,1,1,1,0,0
3000.0,3000.0,36.0,13.35,101.59,c,c2,rent,118063.0,not verified,2014-06-01,Fully Paid,other,13.25,0.0,1994-10-01,660.0,664.0,1.0,999.0,67.0,6.0,1.0,8989.0,89.9,15.0,w,3000.0,0.0,999.0,individual,,,,0.0,600.0,45783.0,,10000.0,6.0,9157.0,171.0,78.6,0.0,0.0,77.0,236.0,9.0,3.0,1.0,36.0,999.0,4.0,999.0,0.0,1.0,4.0,1.0,3.0,6.0,4.0,8.0,4.0,6.0,0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.0,47505.0,45783.0,800.0,37505.0,0,8.0,1,0,1,1,1,0,0
8550.0,8550.0,36.0,16.55,302.92,d,d2,mortgage,29000.0,verified,2015-11-01,Fully Paid,debt_consolidation,15.4,0.0,2011-08-01,680.0,684.0,0.0,34.0,999.0,10.0,0.0,8506.0,41.9,11.0,w,8550.0,0.0,34.0,individual,,,,0.0,0.0,170156.0,,20300.0,7.0,17016.0,8656.0,46.6,0.0,0.0,29.0,51.0,7.0,7.0,1.0,7.0,999.0,7.0,999.0,1.0,5.0,7.0,5.0,5.0,1.0,8.0,8.0,7.0,10.0,0.0,0.0,0.0,3.0,90.9,0.0,0.0,0.0,183203.0,21181.0,16200.0,12675.0,0,3.0,0,1,1,1,0,0,0
6200.0,6200.0,36.0,15.1,215.23,c,c2,mortgage,72000.0,source verified,2013-11-01,Fully Paid,debt_consolidation,8.58,0.0,2003-09-01,705.0,709.0,0.0,81.0,999.0,11.0,0.0,6773.0,40.1,22.0,f,6200.0,0.0,999.0,individual,,,,0.0,0.0,385043.0,,16900.0,6.0,38504.0,,,0.0,0.0,117.0,121.0,3.0,3.0,6.0,,999.0,10.0,999.0,0.0,0.0,4.0,0.0,1.0,5.0,8.0,11.0,4.0,11.0,0.0,0.0,0.0,4.0,90.9,,0.0,0.0,400438.0,23679.0,0.0,18588.0,0,3.0,0,1,1,1,1,0,0
24000.0,24000.0,36.0,6.03,730.46,a,a1,mortgage,145000.0,source verified,2014-12-01,Fully Paid,credit_card,11.2,0.0,2003-10-01,690.0,694.0,0.0,999.0,999.0,16.0,0.0,28882.0,58.5,38.0,w,24000.0,0.0,999.0,individual,,,,0.0,0.0,384337.0,,49400.0,4.0,24021.0,12689.0,57.7,0.0,0.0,134.0,109.0,4.0,4.0,1.0,7.0,999.0,8.0,999.0,0.0,3.0,5.0,3.0,6.0,28.0,5.0,9.0,5.0,16.0,0.0,0.0,0.0,3.0,100.0,66.7,0.0,0.0,437945.0,85795.0,30000.0,79899.0,0,5.0,1,1,1,1,1,0,0
15000.0,15000.0,36.0,7.89,469.29,a,a5,mortgage,109000.0,not verified,2015-06-01,Fully Paid,credit_card,8.71,0.0,2006-11-01,685.0,689.0,0.0,999.0,116.0,5.0,1.0,12622.0,78.4,8.0,w,15000.0,0.0,999.0,individual,,,,0.0,0.0,265963.0,,16100.0,0.0,53193.0,3478.0,78.4,0.0,0.0,101.0,103.0,45.0,34.0,3.0,45.0,999.0,,999.0,0.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,100.0,66.7,1.0,0.0,296866.0,20127.0,16100.0,21631.0,0,6.0,1,0,1,1,1,0,0
6500.0,6500.0,36.0,6.89,200.38,a,a3,mortgage,52000.0,not verified,2015-08-01,Fully Paid,major_purchase,20.19,0.0,2002-10-01,765.0,769.0,0.0,999.0,999.0,16.0,0.0,5133.0,19.2,36.0,w,6500.0,0.0,999.0,individual,,,,0.0,0.0,234278.0,,26700.0,4.0,15619.0,12633.0,26.6,0.0,0.0,154.0,133.0,21.0,10.0,2.0,21.0,999.0,8.0,999.0,0.0,2.0,3.0,5.0,8.0,13.0,11.0,21.0,3.0,16.0,0.0,0.0,0.0,2.0,100.0,20.0,0.0,0.0,267314.0,80071.0,17200.0,76074.0,0,5.0,1,1,1,1,1,0,0
8000.0,8000.0,36.0,10.99,261.88,b,b4,own,94000.0,verified,2015-09-01,Charged Off,debt_consolidation,15.69,2.0,1995-10-01,680.0,684.0,0.0,4.0,999.0,8.0,0.0,5247.0,84.6,24.0,f,3894.94,1.0,4.0,individual,,,,0.0,0.0,367181.0,,6200.0,6.0,45898.0,151.0,96.5,0.0,0.0,239.0,118.0,6.0,6.0,5.0,20.0,6.0,14.0,6.0,1.0,3.0,5.0,3.0,8.0,7.0,5.0,11.0,5.0,8.0,0.0,0.0,1.0,2.0,76.2,100.0,0.0,0.0,386707.0,26193.0,4300.0,31339.0,1,10.0,0,1,0,0,0,0,0
